2025-07-17 08:21:00 | INFO     | TalkyBot        | ============================================================
2025-07-17 08:21:00 | INFO     | TalkyBot        | TalkyBot Logging System Initialized
2025-07-17 08:21:00 | INFO     | TalkyBot        | Log file: /Users/loantruong/Documents/Robotic/TalkyBot/TalkyBot.log
2025-07-17 08:21:00 | INFO     | TalkyBot        | ============================================================
2025-07-17 08:21:00 | INFO     | TalkyBot        | SYSTEM: Testing system event logging
2025-07-17 08:21:00 | INFO     | TalkyBot        | STATE: STANDBY → LISTENING (Wake word detected)
2025-07-17 08:21:00 | INFO     | TalkyBot.STT    | Testing STT logger
2025-07-17 08:21:00 | INFO     | TalkyBot.TTS    | Testing TTS logger
2025-07-17 08:21:00 | DEBUG    | TalkyBot.VAD    | Testing VAD logger (debug level)
2025-07-17 08:21:00 | INFO     | TalkyBot        | WAKE: Wake word detected - 'alexa' (score: 0.850)
2025-07-17 08:21:00 | INFO     | TalkyBot        | STT: Speech recognized - 'hello world' (confidence: 0.95)
2025-07-17 08:21:00 | INFO     | TalkyBot        | TTS: Speaking response - 'Hello! How can I help you?'
2025-07-17 08:21:00 | DEBUG    | TalkyBot        | VAD: Speech detected - 2.5s
2025-07-17 08:21:00 | INFO     | TalkyBot        | CHAT: Response generated - Input: 'hello' - Response: 'Hi there!'
2025-07-17 08:21:00 | ERROR    | TalkyBot        | ERROR in TestComponent: This is a test error
Traceback (most recent call last):
  File "/Users/loantruong/Documents/Robotic/TalkyBot/components/logger.py", line 239, in <module>
    raise ValueError("Test error for logging")
ValueError: Test error for logging
2025-07-17 08:21:00 | DEBUG    | TalkyBot        | PERF: TestComponent.test_operation took 0.105s
2025-07-17 08:21:00 | INFO     | TalkyBot        | SYSTEM: Shutting down logging system
2025-07-17 08:26:16 | INFO     | TalkyBot        | ============================================================
2025-07-17 08:26:16 | INFO     | TalkyBot        | TalkyBot Logging System Initialized
2025-07-17 08:26:16 | INFO     | TalkyBot        | Log file: /Users/loantruong/Documents/Robotic/TalkyBot/TalkyBot.log
2025-07-17 08:26:16 | INFO     | TalkyBot        | ============================================================
2025-07-17 08:26:21 | INFO     | TalkyBot.MAIN   | TalkyBot System initialized successfully
2025-07-17 08:26:21 | INFO     | TalkyBot.MAIN   | ============================================================
2025-07-17 08:26:21 | INFO     | TalkyBot.MAIN   | Starting TalkyBot System...
2025-07-17 08:26:21 | INFO     | TalkyBot.MAIN   | ============================================================
2025-07-17 08:26:21 | INFO     | TalkyBot.MAIN   | Starting Wake Word thread...
2025-07-17 08:26:21 | INFO     | TalkyBot.WAKE   | Wake Word Thread started - Listening for 'Alexa'
2025-07-17 08:26:21 | INFO     | TalkyBot.MAIN   | Starting TTS thread...
2025-07-17 08:26:21 | INFO     | TalkyBot.TTS    | TTS Thread started
2025-07-17 08:26:21 | INFO     | TalkyBot.MAIN   | Starting STT + Brain thread...
2025-07-17 08:26:21 | INFO     | TalkyBot.STT    | Starting STT + Chatbot thread...
2025-07-17 08:26:21 | INFO     | TalkyBot.MAIN   | Starting VAD thread...
